144184,Antigone,canadensis,,Sandhill Crane,United States,"Forest Road 3344 east of Michigan 123, Hiawatha National Forest, Chippewa, Michigan",call,A,1:58,yes
408984,Antigone,canadensis,tabida,Sandhill Crane,United States,"Cobb Lake area, Norvell Township, Jackson County, Michigan",call,B,1:13,yes
107471,Antigone,canadensis,,Sandhill Crane,United States,"Flat Iron Lake Preserve, Oakfield, Kent County, Michigan",Call,B,0:12,unknown
31005,Antigone,canadensis,,Sandhill Crane,United States,"Michigan, Sharon Hollow ",Call,B,0:14,unknown
16956,Charadrius,semipalmatus,,Semipalmated Plover,United States,"Michigan, Pte. Mouillee SGA",Call,B,0:13,unknown
389973,Charadrius,vociferus,,Killdeer,United States,"Gallagher Creek Park, Oakland County, Michigan",alarm call,A,0:32,yes
388612,Charadrius,vociferus,,Killdeer,United States,"Stony Creek Metropark, Macomb County, Michigan",call,A,0:10,yes
322772,Charadrius,vociferus,,Killdeer,United States,"Clarkston Rd, Oakland County, Michigan",alarm call,A,0:03,yes
388615,Charadrius,vociferus,,Killdeer,United States,"Stony Creek Metropark, Macomb County, Michigan",call,B,0:13,no
388613,Charadrius,vociferus,,Killdeer,United States,"Stony Creek Metropark, Macomb County, Michigan",call,B,0:04,yes
31170,Charadrius,vociferus,,Killdeer,United States,"Michigan, Macomb County ",Call,B,0:11,unknown
16958,Charadrius,vociferus,,Killdeer,United States,"Michigan, Pte. Mouillee SGA",Call,B,0:06,unknown
143966,Bartramia,longicauda,,Upland Sandpiper,United States,"Kinsley-Hunt Road,  Huron National Forest, Ogemaw, Michigan","alarm call, call",A,1:14,yes
143965,Bartramia,longicauda,,Upland Sandpiper,United States,"Kinsley-Hunt Road,  Huron National Forest, Ogemaw, Michigan",call,A,0:47,yes
107462,Bartramia,longicauda,,Upland Sandpiper,United States,"Chase Bridge Road, Grayling, Crawford County, Michigan",call,B,0:27,unknown
388694,Scolopax,minor,,American Woodcock,United States,"Tahquamenon Cabins, Chippewa County, Michigan","call, peet calls",A,0:10,yes
388693,Scolopax,minor,,American Woodcock,United States,"Tahquamenon Cabins, Chippewa County, Michigan",flight call,A,0:06,yes
313736,Scolopax,minor,,American Woodcock,United States,"Cranberry Lake Park, Oakland County, Michigan",song,A,1:01,yes
31012,Scolopax,minor,,American Woodcock,United States,"Michigan, Oakwoods Metropark ","Song, including hiccup and 'peent'",A,1:06,unknown
313737,Scolopax,minor,,American Woodcock,United States,"Cranberry Lake Park, Oakland County, Michigan",song,B,0:43,yes
391160,Actitis,macularius,,Spotted Sandpiper,United States,"Tawas Point, Michigan",call,A,0:05,yes
319718,Actitis,macularius,,Spotted Sandpiper,United States,"Glen Haven, Leelanau County, Michigan","call, flight call",B,0:07,yes
31323,Actitis,macularius,,Spotted Sandpiper,United States,"Michigan, Macomb County ",Alarm cal when taking flight,B,0:06,unknown
31322,Actitis,macularius,,Spotted Sandpiper,United States,"Michigan, Macomb County ",Anxiety calls of adult near nest,B,0:23,unknown
16921,Larus,delawarensis,,Ring-billed Gull,United States,"Michigan, Belle Isle",call,B,0:48,unknown
11859,Larus,delawarensis,,Ring-billed Gull,United States,"Michigan, Pte. Mouillee SGA",Flock calls,B,0:28,unknown
11858,Larus,delawarensis,,Ring-billed Gull,United States,"Michigan, Pte. Mouillee SGA","Calls, courtship?",B,0:10,unknown
11857,Larus,delawarensis,,Ring-billed Gull,United States,"Michigan, Pte. Mouillee SGA",call,B,0:55,unknown
11855,Larus,smithsonianus,smithsonianus,American Herring Gull,United States,"Michigan, Pte. Mouillee SGA","Long call, pair",A,0:09,unknown
456250,Hydroprogne,caspia,,Caspian Tern,United States,"Tawas Point, Michigan",call,A,1:10,yes
347184,Hydroprogne,caspia,,Caspian Tern,United States,"Michigan, Pte. Mouillee SGA",call,A,0:23,yes
404203,Zenaida,macroura,,Mourning Dove,United States,"Cranberry Lake Park, Oakland County, Michigan",Flying,B,0:04,yes
391151,Zenaida,macroura,,Mourning Dove,United States,"Tawas Point, Michigan",song,B,0:38,yes
389084,Zenaida,macroura,,Mourning Dove,United States,"Cranberry Lake Park, Oakland County, Michigan","Partial Coo, song",B,0:20,no
329214,Zenaida,macroura,,Mourning Dove,United States,"Silverbrook, Rochester Hills, Oakland County, Michigan",song,B,1:39,yes
318601,Zenaida,macroura,,Mourning Dove,United States,"Cranberry Lake Park, Oakland County, Michigan",song,B,0:19,no
31138,Zenaida,macroura,,Mourning Dove,United States,"Michigan, St. Clair County ",Song,B,0:17,unknown
31176,Coccyzus,americanus,,Yellow-billed Cuckoo,United States,"Michigan, Waterloo SRA ",Call,B,0:43,unknown
17059,Coccyzus,americanus,,Yellow-billed Cuckoo,United States,"Michigan, Pinckney SRA",Song,B,0:06,unknown
462422,Megascops,asio,,Eastern Screech Owl,United States,"Liberty Township (near  Horton), Jackson County, Michigan",call,B,0:24,yes
